[2026-08-12T16:12:02.591Z] GET http://127.0.0.1:8125/assets/home-kibqGuD5.js → 200 (2ms, 243B)
[2026-08-12T16:13:43.900Z] GET http://127.0.0.1:8127/ → 200 (14ms, 1231B)
[2026-08-12T16:13:43.916Z] GET http://127.0.0.1:8127/assets/preload-helper-9NTBiMsW.js → 200 (5ms, 1451B)
[2026-08-12T16:13:43.916Z] GET http://127.0.0.1:8127/assets/vendor-Rtfai3wK.js → 200 (6ms, 14631B)
[2026-08-12T16:13:43.916Z] GET http://127.0.0.1:8127/assets/Counter-CA90KcKa.js → 200 (6ms, 298B)
[2026-08-12T16:13:43.916Z] GET http://127.0.0.1:8127/assets/islands-client-p69IftkJ.js → 200 (6ms, 2089B)
[2026-08-12T16:13:43.923Z] GET http://127.0.0.1:8127/assets/Counter-DUtjVkwf.css → 200 (3ms, 27B)
[2026-08-12T16:14:07.500Z] GET http://127.0.0.1:8127/lazy → 301 (2ms, ?B)
[2026-08-12T16:14:07.502Z] GET http://127.0.0.1:8127/lazy/ → 200 (4ms, 1172B)
[2026-08-12T16:14:07.507Z] GET http://127.0.0.1:8127/assets/preload-helper-9NTBiMsW.js → 200 (2ms, 1451B)
[2026-08-12T16:14:07.507Z] GET http://127.0.0.1:8127/assets/vendor-Rtfai3wK.js → 200 (3ms, 14631B)
[2026-08-12T16:14:07.507Z] GET http://127.0.0.1:8127/assets/islands-client-p69IftkJ.js → 200 (3ms, 2089B)
[2026-08-12T16:14:08.005Z] GET http://127.0.0.1:8127/full → 301 (1ms, ?B)
[2026-08-12T16:14:08.006Z] GET http://127.0.0.1:8127/full/ → 200 (4ms, 1147B)
[2026-08-12T16:14:08.011Z] GET http://127.0.0.1:8127/assets/preload-helper-9NTBiMsW.js → 200 (2ms, 1451B)
[2026-08-12T16:14:08.011Z] GET http://127.0.0.1:8127/assets/vendor-Rtfai3wK.js → 200 (2ms, 14631B)
[2026-08-12T16:14:08.011Z] GET http://127.0.0.1:8127/assets/site-BLYSc32e.js → 200 (2ms, 497B)
[2026-08-12T16:14:08.011Z] GET http://127.0.0.1:8127/assets/full-CNWaIWJl.js → 200 (2ms, 362B)
[2026-08-12T16:14:08.011Z] GET http://127.0.0.1:8127/assets/client-BOPoxM2N.js → 200 (2ms, 23188B)
[2026-08-12T16:14:08.017Z] GET http://127.0.0.1:8127/assets/prefetch-YXBTwb29.js → 200 (1ms, 2225B)
